,SAMPN,hhincome,AutoxAdults,HHSIZ,Weight2,PERNO
8041,4646857,"1 Less than $20,000",Autos = Adults (18 yrs or older),1,269.04024,4
8042,4646929,na,Autos < Adults (18 yrs or older),2,257.55112,12
8043,4646980,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),1,88.06291999999999,3
8044,4647254,"5 More than $100,000",Autos = Adults (18 yrs or older),1,26.144804999999998,12
8045,4647384,"1 Less than $20,000",0,2,296.52737,2
8046,4647457,"2 $20,000 - $34,999",Autos < Adults (18 yrs or older),3,481.39607,13
8047,4647495,"3 $35,000 - $59,999",Autos < Adults (18 yrs or older),3,452.80640999999997,7
8048,4647817,"1 Less than $20,000",Autos < Adults (18 yrs or older),4,662.32076,10
8049,4647898,na,Autos = Adults (18 yrs or older),2,338.460915,15
8050,4647974,"2 $20,000 - $34,999",Autos = Adults (18 yrs or older),1,145.458475,2
8051,4648020,"1 Less than $20,000",0,1,145.458475,4
8052,4648228,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),2,94.34137,9
8053,4648389,na,Autos = Adults (18 yrs or older),3,224.09737,12
8054,4648504,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,64.055125,8
8055,4648532,"5 More than $100,000",Autos = Adults (18 yrs or older),1,18.61788,4
8056,4648570,"5 More than $100,000",Autos > Adults (18 yrs or older),2,28.227840000000004,15
8057,4648858,"5 More than $100,000",Autos = Adults (18 yrs or older),1,104.8655,5
8058,4648867,na,Autos = Adults (18 yrs or older),1,339.87347,5
8059,4648870,"5 More than $100,000",Autos = Adults (18 yrs or older),1,104.8655,6
8060,4648959,na,Autos < Adults (18 yrs or older),2,57.14935,6
8061,4648967,na,Autos > Adults (18 yrs or older),1,103.00684,2
8062,4649203,"2 $20,000 - $34,999",Autos = Adults (18 yrs or older),1,169.936735,2
8063,4649215,"3 $35,000 - $59,999",Autos < Adults (18 yrs or older),2,58.16098,6
8064,4649298,"2 $20,000 - $34,999",0,1,1079.2006,8
8065,4649309,"5 More than $100,000",Autos < Adults (18 yrs or older),2,175.86983,4
8066,4649395,"5 More than $100,000",Autos < Adults (18 yrs or older),2,111.87426,6
8067,4649425,"5 More than $100,000",Autos < Adults (18 yrs or older),2,57.14935,6
8068,4649885,"5 More than $100,000",Autos = Adults (18 yrs or older),2,111.87426,6
8069,4649918,"4 $60,000 -  $99,999",Autos > Adults (18 yrs or older),1,205.58435,7
8070,4649977,na,Autos = Adults (18 yrs or older),2,58.180640000000004,13
8071,4649983,"5 More than $100,000",0,1,103.00684,3
8072,4649992,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),1,205.58435,7
8073,4650247,"2 $20,000 - $34,999",Autos = Adults (18 yrs or older),1,169.936735,12
8074,4650485,"5 More than $100,000",Autos = Adults (18 yrs or older),1,104.8655,6
8075,4650601,"5 More than $100,000",Autos = Adults (18 yrs or older),2,558.43931,9
8076,4650777,"5 More than $100,000",Autos < Adults (18 yrs or older),3,63.256125,13
